What word comes to mind when you think of Hail?
,Activity count,1
,Participant count,17
,Average responses,22.0

What word comes to mind when you think of Hail?,Activity type,Open ended
,Total responses,22
,Unique participants,17
,Responses
,cloud
,broad
,scalable
,parallelization
,matrix table
,"hail-dev,gwas"
,scalable genomic analyses
,vcf
,Parallelization
,Genomics
,gwas
,spark
,fast
,QC
,pca
,umbrella
,open-source
,steep
,GWAS
,Cotton
,some tool
,Kumar
